sim_id,final_pnl,final_Vpi,total_trades
358,168304,34238.2,31
359,195512,5.15111e+06,25
360,274988,-90744.7,35
361,216005,2.13574e+06,32
362,147016,-85596.3,31
363,322493,1.54104e+06,40
364,188166,-3.51226e+06,26
365,243216,-9.33437e+06,23
366,77552.9,-2.32746e+06,18
367,184818,4.35768e+06,29
368,190999,-5.48739e+06,29
369,172519,1.1635e+06,27
370,251555,213220,29
371,90369.2,-1.11714e+06,25
372,160730,-433853,26
373,216098,-2.66948e+06,29
374,143771,-622774,29
375,177867,-1.76581e+06,37
376,264575,1.55278e+06,37
377,201344,-406571,34
378,84948.5,3.0185e+06,22
379,123270,615762,24
380,157570,4.04681e+06,22
381,262896,-1.37017e+06,35
382,125498,1.67217e+06,24
383,134722,2.95702e+06,28
384,221306,-2.68952e+06,32
385,200172,-3.07416e+06,26
386,158866,662280,23
387,158216,1.12242e+06,29
388,144865,1.60114e+06,25
389,228860,5.03242e+06,40
390,217723,-3.13832e+06,36
391,268367,457873,38
392,122903,1.49636e+06,32
393,206032,904244,41
394,170105,1.11849e+06,28
395,210355,-3.44867e+06,32
396,134261,-278902,26
397,197962,1.47832e+06,31
398,137578,-1.21463e+06,26
399,159454,-2.98656e+06,28
400,233933,-3.05475e+06,36
401,236770,8.17944e+06,31
402,132084,-3.35111e+06,27
403,170587,839642,28
404,237331,1.07153e+06,35
405,224546,-4.63182e+06,31
406,235569,-763934,32
407,223720,-785755,27
408,200115,-2.351e+06,26
409,218665,325005,36
410,172227,2.01495e+06,32
411,162996,867206,23
412,160396,548485,27
413,158813,773192,30
414,153509,1.73442e+06,33
415,159845,-226647,34
416,263115,1.87784e+06,36
417,166698,-4.82852e+06,29
418,181891,-5.49435e+06,27
419,244441,-478376,36
420,187299,-32072.7,27
421,138025,-1.92689e+06,25
422,366824,1.04518e+06,35
423,119530,470259,33
424,118063,1.36953e+06,26
425,178034,-1.175e+06,24
426,162963,-4.96684e+06,30
427,157558,4.13503e+06,21
428,251702,-1.31333e+06,39
429,143315,-2.76666e+06,37
430,278875,430405,32
431,169402,323226,32
432,181024,-152582,25
433,162273,-727366,23
434,173259,2.5674e+06,26
435,163045,-2.20165e+06,29
436,185389,1.03005e+06,25
437,227836,8.42512e+06,27
438,362602,2.2668e+06,43
439,289563,-3.72249e+06,33
440,124843,-570318,28
441,176783,-2.98581e+06,27
442,153371,-3.31876e+06,29
443,259248,-1.95061e+06,36
444,108526,381427,23
445,152524,431364,29
446,223578,-4.7359e+06,30
447,174842,2.7149e+06,25
448,299910,539252,42
449,156168,-722497,29
450,176855,-6.38326e+06,24
451,116901,332773,28
452,158147,-3.39949e+06,25
453,289371,4.73829e+06,35
454,208005,3.65436e+06,38
455,221619,-71119.1,31
456,173366,-1.69546e+06,27
457,169528,1.42075e+06,27
458,163589,-3.69911e+06,33
459,166384,-5.05488e+06,27
460,259806,2.4199e+06,40
461,257807,381635,34
462,200209,-2.01834e+06,34
463,146617,-3.35748e+06,21
464,253293,3.76144e+06,27
465,251082,6.39853e+06,34
466,96129,-2.45269e+06,22
467,125254,-475418,33
468,268134,5.44755e+06,30
469,229955,2.1034e+06,36
470,140777,183239,31
471,206906,-1.53184e+06,35
472,77856.6,-1.83085e+06,18
473,181627,-552129,26
474,221105,-2.02435e+06,38
475,136972,-495536,27
476,197908,2.27065e+06,31
477,214727,568539,32
478,267146,6.37294e+06,39
479,177433,-497347,34
480,145732,2.45756e+06,27
481,178795,2.70808e+06,30
482,158179,5.3172e+06,24
483,215081,62760.2,34
484,171773,-1.43313e+06,31
485,224841,5.34952e+06,34
486,135840,-182072,22
487,247868,-1.71411e+06,32
488,202679,373058,28
489,140102,1.36003e+06,19
490,278015,1.36975e+06,44
491,200940,3.75815e+06,37
492,200227,1.22637e+06,28
493,128851,1.78674e+06,28
494,369719,-1.51449e+06,32
495,143167,2.9742e+06,22
496,212841,-6.56934e+06,24
497,123921,1.23588e+06,24
498,269144,5.6502e+06,32
499,246970,-1.6978e+06,31
500,270127,-1.94695e+06,39
501,249290,-9.20844e+06,27
502,158702,3.69516e+06,24
503,134763,-892526,26
504,329302,-3.4702e+06,40
505,202374,2.96093e+06,32
506,109125,-84893.1,20
507,155955,-664151,28
508,164307,1.29169e+06,26
509,168694,-1.93363e+06,35
510,172984,362225,24
511,240759,3.97527e+06,27
512,243956,-1.19622e+06,31
513,202878,3.49068e+06,34
514,171044,3.45893e+06,23
515,157548,-4.05904e+06,22
516,208909,-3.60836e+06,30
517,154006,1.10334e+06,26
518,157466,-954025,25
519,137189,1.1072e+06,29
520,175552,-1.0427e+06,27
521,157417,-4.34827e+06,29
522,140370,-275934,32
523,204211,-2.51475e+06,27
524,224826,-345785,27
525,192623,3.63258e+06,24
526,127182,114740,26
527,183873,962450,24
528,162589,391419,27
529,320231,-4.28385e+06,40
530,125333,-949112,22
531,146687,-225231,33
532,222165,890172,41
533,235131,2.8966e+06,36
534,115575,-1.59705e+06,25
535,161272,172879,33
536,187810,-2.76851e+06,30
537,229153,-1.31723e+06,27
538,198725,1.87328e+06,35
539,290410,4.42921e+06,39
540,164587,1.16369e+06,28
541,142344,3.73662e+06,22
542,206470,188312,30
543,211091,-6.26402e+06,28
544,129198,-1.89242e+06,23
545,196817,724933,30
546,191713,-3.22956e+06,28
547,111298,-84383.2,26
548,135955,-126238,23
549,205857,533142,39
550,182628,-354652,35
551,165483,864772,26
552,270902,-1.71775e+06,34
553,81725.3,1.25083e+06,22
554,248195,2.22848e+06,33
555,173077,448413,29
556,91807.6,2.82983e+06,20
557,167536,449806,30
558,211498,4.88132e+06,34
559,155259,-827290,20
560,164149,2.45612e+06,24
561,195021,440885,32
562,312273,2.24408e+06,37
563,133538,1.01218e+06,24
564,337146,3.97432e+06,44
565,164681,2.45957e+06,25
566,203633,2.7439e+06,35
567,233553,-5.13466e+06,32
568,182795,785361,36
569,135271,-1.34801e+06,33
570,206782,-3.41958e+06,34
571,152630,-50586.6,29
572,250573,2.6996e+06,36
573,117237,-353325,26
574,302043,1.98522e+06,41
575,143315,-2.73883e+06,28
576,188881,-2.01692e+06,29
577,67173.6,-633463,20
578,184626,-4.50916e+06,26
579,162582,-189551,25
580,92003.1,-754079,24
581,187098,673764,32
582,175471,4.86296e+06,29
583,304773,3.96388e+06,37
584,181303,-1.71925e+06,23
585,194169,-1.20219e+06,39
586,195753,965856,26
587,107330,-2.07265e+06,25
588,134870,4.38114e+06,27
