nu,Vpi,v
0.0181241,8.46154e+06,95248.8
0.0181241,8.97436e+06,85375
0.0181241,9.48718e+06,74934.3
0.0181241,1e+07,63901.4
0.0187448,-1e+07,63399.3
0.0187448,-9.48718e+06,74458.4
0.0187448,-8.97436e+06,84925.3
0.0187448,-8.46154e+06,94821.9
0.0187448,-7.94872e+06,104123
0.0187448,-7.4359e+06,112813
0.0187448,-6.92308e+06,120846
0.0187448,-6.41026e+06,128317
0.0187448,-5.89744e+06,135222
0.0187448,-5.38462e+06,141538
0.0187448,-4.87179e+06,147286
0.0187448,-4.35897e+06,152422
0.0187448,-3.84615e+06,157092
0.0187448,-3.33333e+06,161155
0.0187448,-2.82051e+06,164608
0.0187448,-2.30769e+06,167458
0.0187448,-1.79487e+06,169743
0.0187448,-1.28205e+06,171479
0.0187448,-769231,172623
0.0187448,-256410,173178
0.0187448,256410,173192
0.0187448,769231,172661
0.0187448,1.28205e+06,171544
0.0187448,1.79487e+06,169833
0.0187448,2.30769e+06,167573
0.0187448,2.82051e+06,164748
0.0187448,3.33333e+06,161322
0.0187448,3.84615e+06,157286
0.0187448,4.35897e+06,152642
0.0187448,4.87179e+06,147527
0.0187448,5.38462e+06,141804
0.0187448,5.89744e+06,135515
0.0187448,6.41026e+06,128638
0.0187448,6.92308e+06,121191
0.0187448,7.4359e+06,113185
0.0187448,7.94872e+06,104522
0.0187448,8.46154e+06,95249.5
0.0187448,8.97436e+06,85375.7
0.0187448,9.48718e+06,74935.1
0.0187448,1e+07,63902.2
0.0193655,-1e+07,63398.4
0.0193655,-9.48718e+06,74457.6
0.0193655,-8.97436e+06,84924.5
0.0193655,-8.46154e+06,94821.2
0.0193655,-7.94872e+06,104122
0.0193655,-7.4359e+06,112813
0.0193655,-6.92308e+06,120845
0.0193655,-6.41026e+06,128317
0.0193655,-5.89744e+06,135222
0.0193655,-5.38462e+06,141537
0.0193655,-4.87179e+06,147286
0.0193655,-4.35897e+06,152422
0.0193655,-3.84615e+06,157092
0.0193655,-3.33333e+06,161155
0.0193655,-2.82051e+06,164607
0.0193655,-2.30769e+06,167458
0.0193655,-1.79487e+06,169743
0.0193655,-1.28205e+06,171479
0.0193655,-769231,172623
0.0193655,-256410,173178
0.0193655,256410,173192
0.0193655,769231,172661
0.0193655,1.28205e+06,171544
0.0193655,1.79487e+06,169834
0.0193655,2.30769e+06,167573
0.0193655,2.82051e+06,164748
0.0193655,3.33333e+06,161322
0.0193655,3.84615e+06,157287
0.0193655,4.35897e+06,152643
0.0193655,4.87179e+06,147528
0.0193655,5.38462e+06,141805
0.0193655,5.89744e+06,135516
0.0193655,6.41026e+06,128639
0.0193655,6.92308e+06,121191
0.0193655,7.4359e+06,113185
0.0193655,7.94872e+06,104522
0.0193655,8.46154e+06,95250.2
0.0193655,8.97436e+06,85376.5
0.0193655,9.48718e+06,74935.9
0.0193655,1e+07,63903
0.0199862,-1e+07,63397.5
0.0199862,-9.48718e+06,74456.8
0.0199862,-8.97436e+06,84923.7
0.0199862,-8.46154e+06,94820.4
0.0199862,-7.94872e+06,104121
0.0199862,-7.4359e+06,112812
