option_idx,K,T,Vpi,price,vega,iv_initial,delta_bid,delta_ask,delta_bid_over_price,iv_bid_over_iv0
5,9,1.5,-5.38462e+06,1.31708,0.833947,0.152782,-0.000650257,0.0155078,-0.000493713,1.00108
6,9,2,-5.38462e+06,1.40697,0.7578,0.151696,-0.000587459,0.0140766,-0.000417534,1.00082
7,9,3,-5.38462e+06,1.56406,0.645607,0.150509,-0.000525861,0.012217,-0.000336216,1.00058
8,10,1,-5.38462e+06,0.584842,1.24739,0.14673,-0.000470299,0.0244107,-0.000804148,1.00081
9,10,1.5,-5.38462e+06,0.716429,1.05649,0.146826,-0.000605875,0.0204155,-0.000845688,1.00085
10,10,2,-5.38462e+06,0.827685,0.921681,0.146968,-0.00067595,0.0174205,-0.000816676,1.00082
11,10,3,-5.38462e+06,1.01428,0.752216,0.147184,-0.000583438,0.013977,-0.000575227,1.00058
12,11,1,-5.38462e+06,0.216056,1.054,0.139893,0.000607342,0.0220262,0.00281104,0.998688
13,11,1.5,-5.38462e+06,0.331841,0.967756,0.141548,-0.000118922,0.0194449,-0.00035837,1.00019
14,11,2,-5.38462e+06,0.435851,0.878186,0.142685,-0.000361103,0.0169423,-0.000828501,1.00048
15,11,3,-5.38462e+06,0.617345,0.74383,0.144084,-0.00049597,0.0139305,-0.000803392,1.00051
16,12,1,-5.38462e+06,0.0580433,0.553724,0.133691,0.00129903,0.0122647,0.0223804,0.994323
17,12,1.5,-5.38462e+06,0.128299,0.656386,0.136693,0.000395066,0.0134722,0.00307926,0.999019
18,12,2,-5.38462e+06,0.203702,0.673174,0.138682,-1.2752e-05,0.0132721,-6.26016e-05,1.00002
19,12,3,-5.38462e+06,0.352176,0.639898,0.14112,-0.000314191,0.0123354,-0.000892142,1.00039
0,8,1,-4.87179e+06,2.05629,0.412252,0.162427,1.93729e-05,0.00667438,9.42127e-06,0.999914
1,8,1.5,-4.87179e+06,2.10839,0.466047,0.158853,-4.35883e-06,0.00764476,-2.06737e-06,1.00001
2,8,2,-4.87179e+06,2.1619,0.473691,0.156554,-7.51357e-06,0.00779007,-3.47545e-06,1.00002
3,8,3,-4.87179e+06,2.26692,0.455707,0.153904,4.74621e-08,0.00745111,2.09369e-08,1
4,9,1,-4.87179e+06,1.21607,0.909136,0.154678,-1.61311e-05,0.0160223,-1.32649e-05,1.00003
5,9,1.5,-4.87179e+06,1.31708,0.833947,0.152782,-1.08914e-05,0.014684,-8.26937e-06,1.00002
6,9,2,-4.87179e+06,1.40697,0.7578,0.151696,-1.74496e-05,0.0134314,-1.24022e-05,1.00002
7,9,3,-4.87179e+06,1.56406,0.645607,0.150509,-3.9609e-05,0.0115266,-2.53245e-05,1.00004
8,10,1,-4.87179e+06,0.584842,1.24739,0.14673,0.000393879,0.0230098,0.000673479,0.999325
9,10,1.5,-4.87179e+06,0.716429,1.05649,0.146826,0.000162015,0.0193614,0.000226142,0.999773
10,10,2,-4.87179e+06,0.827685,0.921681,0.146968,2.62955e-05,0.0163335,3.17699e-05,0.999968
11,10,3,-4.87179e+06,1.01428,0.752216,0.147184,-1.87093e-05,0.0133438,-1.84459e-05,1.00002
12,11,1,-4.87179e+06,0.216056,1.054,0.139893,0.00143929,0.0209394,0.00666164,0.996889
13,11,1.5,-4.87179e+06,0.331841,0.967756,0.141548,0.00058992,0.0182926,0.00177772,0.99905
14,11,2,-4.87179e+06,0.435851,0.878186,0.142685,0.00024715,0.0159043,0.00056705,0.999671
15,11,3,-4.87179e+06,0.617345,0.74383,0.144084,4.27348e-05,0.0133004,6.92236e-05,0.999956
16,12,1,-4.87179e+06,0.0580433,0.553724,0.133691,0.00178183,0.0121039,0.0306983,0.992197
17,12,1.5,-4.87179e+06,0.128299,0.656386,0.136693,0.000899023,0.0128895,0.00700727,0.997766
18,12,2,-4.87179e+06,0.203702,0.673174,0.138682,0.000471829,0.0127234,0.00231628,0.999148
19,12,3,-4.87179e+06,0.352176,0.639898,0.14112,0.000124195,0.0118636,0.000352651,0.999845
0,8,1,-4.35897e+06,2.05629,0.412252,0.162427,0.000262801,0.00633981,0.000127803,0.99883
1,8,1.5,-4.35897e+06,2.10839,0.466047,0.158853,0.000274433,0.00719299,0.000130162,0.999233
2,8,2,-4.35897e+06,2.1619,0.473691,0.156554,0.000276109,0.00731983,0.000127716,0.999415
3,8,3,-4.35897e+06,2.26692,0.455707,0.153904,0.000272234,0.00702359,0.00012009,0.99959
4,9,1,-4.35897e+06,1.21607,0.909136,0.154678,0.000538991,0.0150672,0.000443224,0.998835
5,9,1.5,-4.35897e+06,1.31708,0.833947,0.152782,0.000493449,0.013907,0.000374655,0.99918
6,9,2,-4.35897e+06,1.40697,0.7578,0.151696,0.000425622,0.0128123,0.000302509,0.999405
7,9,3,-4.35897e+06,1.56406,0.645607,0.150509,0.000343595,0.010503,0.000219682,0.999619
8,10,1,-4.35897e+06,0.584842,1.24739,0.14673,0.00128569,0.0217771,0.00219836,0.997798
9,10,1.5,-4.35897e+06,0.716429,1.05649,0.146826,0.000876058,0.0179421,0.00122281,0.998774
10,10,2,-4.35897e+06,0.827685,0.921681,0.146968,0.000604632,0.0153409,0.000730509,0.999267
11,10,3,-4.35897e+06,1.01428,0.752216,0.147184,0.00042088,0.0127353,0.000414956,0.999583
12,11,1,-4.35897e+06,0.216056,1.054,0.139893,0.002284,0.0199994,0.0105714,0.995061
13,11,1.5,-4.35897e+06,0.331841,0.967756,0.141548,0.00132844,0.0170414,0.00400323,0.997861
14,11,2,-4.35897e+06,0.435851,0.878186,0.142685,0.000871475,0.0149968,0.00199948,0.99884
15,11,3,-4.35897e+06,0.617345,0.74383,0.144084,0.000499586,0.0127048,0.000809249,0.999481
16,12,1,-4.35897e+06,0.0580433,0.553724,0.133691,0.00226527,0.0116888,0.0390272,0.99006
17,12,1.5,-4.35897e+06,0.128299,0.656386,0.136693,0.00142021,0.0123798,0.0110696,0.996468
18,12,2,-4.35897e+06,0.203702,0.673174,0.138682,0.000976356,0.0122197,0.00479307,0.998235
19,12,3,-4.35897e+06,0.352176,0.639898,0.14112,0.000560932,0.0107972,0.00159276,0.999301
0,8,1,-3.84615e+06,2.05629,0.412252,0.162427,0.000591926,0.00610746,0.000287861,0.997361
1,8,1.5,-3.84615e+06,2.10839,0.466047,0.158853,0.000651449,0.00688466,0.000308979,0.998178
2,8,2,-3.84615e+06,2.1619,0.473691,0.156554,0.000659655,0.00699972,0.000305128,0.998603
3,8,3,-3.84615e+06,2.26692,0.455707,0.153904,0.000640315,0.00673081,0.000282461,0.999036
4,9,1,-3.84615e+06,1.21607,0.909136,0.154678,0.00127532,0.0144222,0.00104872,0.997243
5,9,1.5,-3.84615e+06,1.31708,0.833947,0.152782,0.00114552,0.0133754,0.000869746,0.998096
6,9,2,-3.84615e+06,1.40697,0.7578,0.151696,0.00102291,0.0119388,0.000727028,0.99857
